- moisture_reading: 114, time: 2024-11-28 23:29:49, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 114, time: 2024-11-28 23:29:50, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 114, time: 2024-11-28 23:29:50, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 114, time: 2024-11-28 23:29:51, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 114, time: 2024-11-28 23:29:51, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 114, time: 2024-11-28 23:29:52, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 113, time: 2024-11-28 23:29:53, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 96, time: 2024-11-28 23:31:49, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 96, time: 2024-11-28 23:31:50, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 96, time: 2024-11-28 23:31:50, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 96, time: 2024-11-28 23:31:51, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 96, time: 2024-11-28 23:31:51, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 96, time: 2024-11-28 23:31:52, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:43:27, water_status: Enough Water, watering_threshold: 130.
- moisture_reading: 99, time: 2024-11-28 23:43:42, water_status: Enough Water, watering_threshold: 130.
